Date,Series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
28-Mar-24,EQ,341,345,337.9,339.45,341,342.05,341.08,542,329,"1,10,101","3,75,52,934.30","2,848"
27-Mar-24,EQ,347.95,349.3,334.35,343,337.4,339.45,342.22,542,329,"1,90,251","6,51,07,268.75","6,073"
26-Mar-24,EQ,336.3,346.95,336.3,341.6,344,343,340.73,542,329,"2,09,882","7,15,13,327.35","5,580"
22-Mar-24,EQ,344.35,346.7,340,344.35,340.55,341.6,343.57,542,329,"47,542","1,63,33,919.65","1,572"
21-Mar-24,EQ,345,348.5,341.6,342.05,344,344.35,345.45,542,329,"88,858","3,06,96,103.20","3,494"
20-Mar-24,EQ,343.05,348,337.35,346.9,341.6,342.05,342.06,542,329,"97,142","3,32,28,082.25","4,408"
19-Mar-24,EQ,351.1,353.1,342.95,349.45,343.05,346.9,347.44,542,329,"66,052","2,29,48,846.95","2,803"
18-Mar-24,EQ,350.3,365.05,338.55,349.8,354,349.45,351.86,542,329,"2,01,726","7,09,78,595.90","7,345"
15-Mar-24,EQ,333.05,355.7,333.05,335.95,351,349.8,347.85,542,329,"1,60,898","5,59,68,159.90","10,372"
14-Mar-24,EQ,334.15,341.85,332.5,333.95,335.95,335.95,337.42,542,329,"62,430","2,10,65,162.75","3,917"
13-Mar-24,EQ,356,359,329,355.45,333.05,333.95,342.08,542,329,"1,79,082","6,12,60,582.75","9,670"
12-Mar-24,EQ,372,372,354.2,372.1,355,355.45,359.9,542,341.15,"1,72,583","6,21,12,380.05","8,777"
11-Mar-24,EQ,381.75,386.85,370.1,381.5,371,372.1,373.69,542,341.15,"73,271","2,73,80,273.85","4,070"
07-Mar-24,EQ,381.8,387.05,377.1,377.65,380.5,381.5,382.32,542,341.15,"57,345","2,19,24,386.00","3,508"
06-Mar-24,EQ,392,394.65,375.4,388.05,377.1,377.65,381.76,542,341.15,"95,075","3,62,96,017.75","4,886"
05-Mar-24,EQ,386.95,395.6,384.55,388.1,386.45,388.05,390.64,542,341.15,"66,846","2,61,12,773.75","4,242"
04-Mar-24,EQ,390.55,396.75,387.3,389.4,387.5,388.1,392.24,542,341.15,"85,515","3,35,42,152.40","3,944"
02-Mar-24,EQ,388.2,391,386.25,388.4,390.8,389.4,388.98,542,341.15,"9,396","36,54,817.15",269
01-Mar-24,EQ,385,389.25,379.8,381.35,387,388.4,384.99,542,341.15,"1,46,516","5,64,06,501.90","4,360"
29-Feb-24,EQ,381.5,384.1,373.6,385.65,383,381.35,379.99,542,341.15,"1,88,106","7,14,78,305.15","6,087"
28-Feb-24,EQ,384.95,394.75,382.6,384.95,382.75,385.65,388.02,542,341.15,"2,06,257","8,00,31,884.85","9,165"
27-Feb-24,EQ,380.9,386.65,378.6,380.7,384.55,384.95,382.32,542,341.15,"34,577","1,32,19,424.20","2,388"
26-Feb-24,EQ,382.9,385.4,378.2,381.65,380.5,380.7,382.05,542,341.15,"87,528","3,34,40,190.80","7,192"
23-Feb-24,EQ,381.9,386.1,379.05,381.8,381.35,381.65,382.16,542,341.15,"1,10,143","4,20,92,293.80","6,837"
22-Feb-24,EQ,384.3,385.8,376.4,380.5,383,381.8,381.25,542,341.15,"1,19,416","4,55,27,184.10","6,090"
21-Feb-24,EQ,403.5,403.5,377.45,392,381.85,380.5,385.74,542,341.15,"1,11,499","4,30,09,412.30","5,354"
20-Feb-24,EQ,393.9,395.1,389.25,393.7,392.35,392,392.33,542,341.15,"39,064","1,53,25,977.15","3,054"
19-Feb-24,EQ,391.95,404,390.55,391,392,393.7,395.04,542,341.15,"79,086","3,12,42,114.55","4,358"
16-Feb-24,EQ,400.25,401.55,388,399.55,389,391,393.99,542,341.15,"81,001","3,19,13,911.90","4,338"
15-Feb-24,EQ,405.4,409.3,395,402.85,400.6,399.55,400.4,542,341.15,"77,027","3,08,41,883.80","4,684"
14-Feb-24,EQ,396.95,407.4,394.75,397.6,405,402.85,398.31,542,341.15,"45,672","1,81,91,794.90","3,337"
13-Feb-24,EQ,409.85,409.85,391.5,407.8,395.5,397.6,396.83,542,341.15,"1,23,054","4,88,32,001.20","6,730"
12-Feb-24,EQ,426.85,428.6,402.1,426,402.35,407.8,413.26,542,341.15,"2,00,083","8,26,86,550.15","11,265"
09-Feb-24,EQ,431,437.8,413.1,436.75,422.95,426,425.03,542,341.15,"2,77,606","11,79,90,213.90","12,251"
08-Feb-24,EQ,443.6,445,435.05,439.75,437.45,436.75,439.21,542,341.15,"2,42,369","10,64,49,982.10","11,705"
07-Feb-24,EQ,425,442.8,421,424.55,439,439.75,434.51,542,341.15,"13,31,048","57,83,59,540.60","38,930"
06-Feb-24,EQ,410.65,425.85,408.7,409.2,424.5,424.55,419.79,542,341.15,"2,75,344","11,55,86,667.85","14,181"
05-Feb-24,EQ,409,421.45,405.15,412.3,408.5,409.2,415.24,542,341.15,"3,15,247","13,09,01,671.75","8,560"
02-Feb-24,EQ,405,425.7,404.95,402.95,410.25,412.3,416.35,542,341.15,"3,73,635","15,55,64,637.10","16,030"
01-Feb-24,EQ,408.7,408.7,400,407.1,404.05,402.95,403.92,542,341.15,"74,516","3,00,98,582.20","4,209"
31-Jan-24,EQ,399.35,410.85,395.7,400.35,407.5,407.1,406.19,542,341.15,"1,10,602","4,49,25,571.35","4,694"
30-Jan-24,EQ,404.75,414.75,397.4,402.9,400.8,400.35,408.37,542,341.15,"2,23,182","9,11,41,010.25","6,497"
29-Jan-24,EQ,401,415.4,400.1,400.6,403,402.9,407.7,542,341.15,"1,88,777","7,69,64,972.60","8,503"
25-Jan-24,EQ,393.75,403,388.7,393.65,400.55,400.6,396.64,542,341.15,"2,24,013","8,88,51,502.75","9,717"
24-Jan-24,EQ,371.05,395.75,371.05,372.4,392.05,393.65,387.14,542,341.15,"4,10,841","15,90,52,851.35","17,246"
23-Jan-24,EQ,380,382.95,370.6,377.65,372.15,372.4,374.97,542,341.15,"71,211","2,67,02,340.50","4,116"
20-Jan-24,EQ,381.1,382.1,375,379.6,377,377.65,378.38,542,341.15,"35,245","1,33,36,028.70","1,143"
19-Jan-24,EQ,378.6,382.75,377.45,376.7,381,379.6,380.02,542,341.15,"43,206","1,64,19,284.55","2,101"
18-Jan-24,EQ,377,380.05,367.1,377.35,374.95,376.7,373.56,542,341.15,"75,939","2,83,67,545.25","4,659"
17-Jan-24,EQ,388.5,389.9,376.2,389.65,377,377.35,381.26,542,341.15,"89,363","3,40,70,191.20","3,637"
16-Jan-24,EQ,392,394.95,385,391.25,390.25,389.65,389.74,542,341.15,"90,528","3,52,82,747.40","4,213"
15-Jan-24,EQ,392.4,399.45,383.8,390.45,386,391.25,388.48,542,341.15,"1,24,194","4,82,46,460.55","5,035"
12-Jan-24,EQ,392.55,396.7,389,393.9,389,390.45,392.34,542,341.15,"35,498","1,39,27,323.50","2,228"
11-Jan-24,EQ,384,398.95,384,382.65,393.6,393.9,391.64,542,341.15,"1,45,654","5,70,44,527.90","5,942"
10-Jan-24,EQ,384.9,387.5,379.25,384.9,381.55,382.65,381.77,542,341.15,"99,405","3,79,50,134.40","3,486"
09-Jan-24,EQ,387.9,395.1,383.5,387.8,384,384.9,389.91,542,341.15,"97,855","3,81,54,850.10","4,195"
08-Jan-24,EQ,400.4,402,386,400.4,386.5,387.8,392.04,542,341.15,"1,31,276","5,14,64,999.55","6,411"
05-Jan-24,EQ,416.15,418.3,395.65,416.1,400.05,400.4,407.32,542,341.15,"2,59,585","10,57,33,202.30","8,996"
04-Jan-24,EQ,406,417.5,405,407.6,416.85,416.1,411.94,542,341.15,"2,67,581","11,02,27,836.60","8,594"
03-Jan-24,EQ,404.7,410.75,400.05,404.7,408,407.6,406.17,542,341.15,"3,72,391","15,12,55,889.75","9,702"
02-Jan-24,EQ,378.5,412,378.2,377,406.05,404.7,400.19,542,341.15,"8,85,423","35,43,37,205.75","26,736"
01-Jan-24,EQ,376.05,378.6,371.6,375.5,375.5,377,374.35,542,341.15,"1,57,131","5,88,21,485.45","4,610"
